resource_id,resource_type,title,normalized_title,official_title,description,issuing_authority,publisher,publication_year,publication_date,effective_from,effective_until,academic_year,curriculum_name,curriculum_version,regulation_reference,regulation_status,document_status,education_level,phase,grade_from,grade_to,subject,subject_variant,element,content_scope,language,official_source_url,download_url,final_resolved_url,source_domain,source_page,local_file_path,file_name,file_extension,mime_type,file_size_bytes,sha256,download_timestamp,last_verified_at,license_category,license_name,license_url,copyright_holder,commercial_use_allowed,modification_allowed,redistribution_allowed,attribution_required,verification_status,verified_by,supersedes_resource_id,superseded_by_resource_id,related_resource_ids,notes
AUTO-78,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=78,https://kurikulum.kemendikdasmen.go.id/file/1678860223_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_78__78.pdf,resource_78__78.pdf,pdf,application/pdf,14484339,a6d4307378f142c2453f17dda06bcb0648aebac7d119113c1e305c7366b9c38c,2026-07-28T03:58:18Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-80,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=80,https://kurikulum.kemendikdasmen.go.id/file/1685090215_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_80__80.pdf,resource_80__80.pdf,pdf,application/pdf,163554,60032b267cac09eded00f1a884d7706dcf3bdfa93d759514a88880f462ee2eed,2026-07-28T03:57:49Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-82,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=82,https://kurikulum.kemendikdasmen.go.id/file/1689392629_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_82__82.pdf,resource_82__82.pdf,pdf,application/pdf,2337633,e635669c0b97651abc28b7011dbd3aa14e3f3442c11b43eb1ecd8328777da5cb,2026-07-28T04:09:23Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-87,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=87,https://kurikulum.kemendikdasmen.go.id/file/Buku_Panduan_Pengembangan_Bakat_&_Minat.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_87__87.pdf,resource_87__87.pdf,pdf,application/pdf,24574673,8b8892441231fe869a08f22ace1d151bfad51e1b4f14d60727d89a4a3684c7e2,2026-07-28T04:09:09Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-88,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=88,https://kurikulum.kemendikdasmen.go.id/file/1706840070_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_88__88.pdf,resource_88__88.pdf,pdf,application/pdf,9947579,343b90d06ef4d1eb14b5b1ee09473efea39a60b340a62cb65e7f0ef86a2af45a,2026-07-28T04:09:06Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-90,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=90,https://kurikulum.kemendikdasmen.go.id/file/1711507788_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_90__90.pdf,resource_90__90.pdf,pdf,application/pdf,705470,98eca333f76c0c8d7efb107794d40d3b24cd6aae1314d5c8db1862950608ba75,2026-07-28T03:57:14Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-91,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=91,https://kurikulum.kemendikdasmen.go.id/file/1754561731_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_91__91.pdf,resource_91__91.pdf,pdf,application/pdf,388168,184497add24f2baaf72e94d1fddfd842d1e3656d8bb37bb222bd41eaa7dbdd16,2026-07-28T03:57:47Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-94,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=94,https://kurikulum.kemendikdasmen.go.id/file/Salinan_Batang_Tubuh_KEPKA_BKSKAP_Penetapan_Satpen_IKM_2024-2025.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_94__94.pdf,resource_94__94.pdf,pdf,application/pdf,148512243,92933181c744e28d499c5fa128ed554782e4b01d251f6fabba6f450392990ccd,2026-07-28T03:57:12Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-95,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=95,https://kurikulum.kemendikdasmen.go.id/file/1718354948_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_95__95.pdf,resource_95__95.pdf,pdf,application/pdf,418517,dbddeafadceed4d8e7197353a15ad3863052bee9bbe51da9a6e1a4468657a694,2026-07-28T03:51:56Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-104,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=104,https://kurikulum.kemendikdasmen.go.id/file/1722934983_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_104__104.pdf,resource_104__104.pdf,pdf,application/pdf,11802667,5053c1e128d45f43e18c3433d4aaa472fa0fc2b6831bd97f5532b2f008088044,2026-07-28T03:51:54Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-105,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=105,https://kurikulum.kemendikdasmen.go.id/file/1724723181_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_105__105.pdf,resource_105__105.pdf,pdf,application/pdf,28317904,0c7d942164a7376ca087f9382b87aa6dd4db4bc2d96b33fb506ea2a9aefca82e,2026-07-28T04:08:11Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-107,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=107,https://kurikulum.kemendikdasmen.go.id/file/1725502167_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_107__107.pdf,resource_107__107.pdf,pdf,application/pdf,22801508,cc60e5210e441d29752c86ab4bda94184b39e6253d201795a12f7626afa2199b,2026-07-28T04:08:14Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-110,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=110,https://kurikulum.kemendikdasmen.go.id/file/1729244746_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_110__110.pdf,resource_110__110.pdf,pdf,application/pdf,10801615,73bf81846d3f8d08184585f2ddcf85c66a0630949e1419d613bb7ca0af1c2ee7,2026-07-28T04:08:01Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-111,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=111,https://kurikulum.kemendikdasmen.go.id/file/1732075952_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_111__111.pdf,resource_111__111.pdf,pdf,application/pdf,1367401,02fc51c6e3e4885af965d40e3900ef6ca0acd4503254ca250206f5e49c420fa1,2026-07-28T03:51:33Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-112,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=112,https://kurikulum.kemendikdasmen.go.id/file/1732515135_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_112__112.pdf,resource_112__112.pdf,pdf,application/pdf,2504568,82effa05127d9e358fdad7f5e99743b13e6b850f18c03ace781a39f4a6d8721c,2026-07-28T04:08:07Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-113,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=113,https://kurikulum.kemendikdasmen.go.id/file/1733199477_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_113__113.pdf,resource_113__113.pdf,pdf,application/pdf,2886826,29d571aff5dd846aaa3166fb2e7c899a9a47723b622ad2a015f092da3ccbd7e5,2026-07-28T04:08:04Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-114,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=114,https://kurikulum.kemendikdasmen.go.id/file/1733796633_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_114__114.pdf,resource_114__114.pdf,pdf,application/pdf,9850634,bce297608ad8c3bdf269e07712ca36ecdf52f76752d534c1f481b903b1876d54,2026-07-28T03:57:34Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-116,document,Pm Banner Pembelajaran Mendalam,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=116,https://kurikulum.kemendikdasmen.go.id/file/1741963991_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\pm_banner_pembelajaran_mendalam__116.pdf,pm_banner_pembelajaran_mendalam__116.pdf,pdf,application/pdf,19249973,341f37ddc3fe2e8eb3cdc4385ca109853c253f865143b8b3c7d0a65a5dc558f8,2026-07-28T04:14:25Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-119,document,Cp 000 Capaian Pembelajaran Master,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=119,https://kurikulum.kemendikdasmen.go.id/file/1753929861_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\cp_000_capaian_pembelajaran_master__119.pdf,cp_000_capaian_pembelajaran_master__119.pdf,pdf,application/pdf,14936309,f8e5f478de4dc1790bfc800104135f992c8fe6cb2d8f770f46b616932a2aec34,2026-07-28T03:51:26Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-120,document,Ppa Banner,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=120,https://kurikulum.kemendikdasmen.go.id/file/1755668120_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\ppa_banner__120.pdf,ppa_banner__120.pdf,pdf,application/pdf,3977732,de29a031ef88e1c917a5ff29361b3ceb9b0436947195d55e2f24b5f188e5a1b4,2026-07-28T04:06:14Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-121,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=121,https://kurikulum.kemendikdasmen.go.id/file/1753779343_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_121__121.pdf,resource_121__121.pdf,pdf,application/pdf,4453889,340d1fc4ffb35572acc4da8b452fb295161021a2147e948f54f76ebf77f7ee46,2026-07-28T04:07:29Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-122,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=122,https://kurikulum.kemendikdasmen.go.id/file/1755670818_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_122__122.pdf,resource_122__122.pdf,pdf,application/pdf,10577957,6202243d310e1add6fac3338759f4ca28069a7517e183a39e7b69bed37a302f3,2026-07-28T04:07:26Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-125,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=125,https://kurikulum.kemendikdasmen.go.id/file/1758643025_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_125__125.pdf,resource_125__125.pdf,pdf,application/pdf,25485565,74798bb3e1cf412d8129c8c337de954d74311cc442b9ea5cb5339ee1b11a5779,2026-07-28T04:05:43Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-126,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=126,https://kurikulum.kemendikdasmen.go.id/file/1759304686_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_126__126.pdf,resource_126__126.pdf,pdf,application/pdf,3459129,66a95467b6c5a32266822e2b9502afe343c7aa9d0074f1b6412cccd565442af7,2026-07-28T03:50:46Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-128,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=128,https://kurikulum.kemendikdasmen.go.id/file/1767521262_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_128__128.pdf,resource_128__128.pdf,pdf,application/pdf,7102795,8edf4dd659e9bd061e1fc73611ee0ccf56b5c5257e87dbae495b07a42c19dbf4,2026-07-28T03:50:43Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-129,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=129,https://kurikulum.kemendikdasmen.go.id/file/1768297742_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_129__129.pdf,resource_129__129.pdf,pdf,application/pdf,136043,b75fddf1956788d07e568230e42495a90566d49e4a9ac133d11ec53dd88bbce2,2026-07-28T03:57:43Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-130,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=130,https://kurikulum.kemendikdasmen.go.id/file/nasmik%20SISTEM%20PENJAMINAN%20MUTU%20INTERNAL%202025_V4%20(2).pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_130__130.pdf,resource_130__130.pdf,pdf,application/pdf,5158815,4e9bba345ab26f82948923939152c7727238fde40ff4331739635d40727565ff,2026-07-28T04:12:32Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-131,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=131,https://kurikulum.kemendikdasmen.go.id/file/1770041597_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_131__131.pdf,resource_131__131.pdf,pdf,application/pdf,15027166,f3ae3cd97a492bdde4a7148f385ceedcc44b8325561f237821796fee37260202,2026-07-28T04:03:15Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-132,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=132,https://kurikulum.kemendikdasmen.go.id/file/1771826252_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_132__132.pdf,resource_132__132.pdf,pdf,application/pdf,7708429,08d8f6a1683c709d822883ab38b5f62a255f97bd0c26945d5d5c3eafb3c5d8ff,2026-07-28T04:12:10Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
